base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE NOROESTE,46.41250584783508,1492,BASE NOROESTE,158,B001,estres_1_base,Base,1.0,1.0,1478,20160,base,68,1,available,14.732142857142858,7.3313492063492065
BASE NOROESTE,86.05384440546932,1456,BASE NOROESTE,156,B002,estres_1_base,Base,1.0,1.0,1416,20160,base,68,1,available,14.246031746031745,7.023809523809524
BASE NORTE CAPITAL,55.66079212677577,3362,BASE NORTE CAPITAL,337,B003,estres_1_base,Base,1.0,1.0,3320,20160,base,68,1,available,33.144841269841265,16.46825396825397
BASE NORTE CAPITAL,72.7377786612069,3229,BASE NORTE CAPITAL,364,B004,estres_1_base,Base,1.0,1.0,3170,20160,base,68,1,available,31.741071428571427,15.724206349206348
BASE NORTE CAPITAL,73.36388129953096,3049,BASE NORTE CAPITAL,335,B005,estres_1_base,Base,1.0,1.0,2992,20160,base,68,1,available,29.96527777777778,14.841269841269842
BASE NORTE CAPITAL,34.237872424356254,3210,BASE NORTE CAPITAL,344,B006,estres_1_base,Base,1.0,1.0,3190,20160,base,68,1,available,31.746031746031743,15.823412698412698
BASE ESTE CORREDOR,21.667256180647314,630,BASE ESTE CORREDOR,53,B007,estres_1_base,Base,1.0,1.0,674,20160,base,68,1,available,6.468253968253969,3.3432539682539684
BASE ESTE CORREDOR,21.867081179159914,1686,BASE ESTE CORREDOR,111,B008,estres_1_base,Base,1.0,1.0,1734,20160,base,68,1,available,16.964285714285715,8.601190476190476
BASE ESTE CORREDOR,100.0,1932,BASE ESTE CORREDOR,123,B009,estres_1_base,Base,1.0,1.0,1906,20160,base,68,1,available,19.03769841269841,9.454365079365079
BASE ESTE CORREDOR,21.43622379552529,1223,BASE ESTE CORREDOR,79,B010,estres_1_base,Base,1.0,1.0,1268,20160,base,68,1,available,12.356150793650794,6.2896825396825395
BASE SUR FUENLABRADA,100.0,1984,BASE SUR FUENLABRADA,216,B011,estres_1_base,Base,1.0,1.0,1936,20160,base,68,1,available,19.444444444444446,9.603174603174605
BASE SUR FUENLABRADA,100.0,2163,BASE SUR FUENLABRADA,228,B012,estres_1_base,Base,1.0,1.0,2114,20160,base,68,1,available,21.21527777777778,10.48611111111111
BASE SUR FUENLABRADA,100.0,2203,BASE SUR FUENLABRADA,229,B013,estres_1_base,Base,1.0,1.0,2128,20160,base,68,1,available,21.48313492063492,10.555555555555555
Hospital Asociado Universitario Guadarrama,83.10889454516236,0,Hospital Asociado Universitario Guadarrama,1,H001,estres_1_base,Base,1.0,1.0,12,20160,hospital,68,1,available,0.05952380952380953,0.05952380952380953
Hospital Asociado Universitario Guadarrama,23.01403851934858,0,Hospital Universitario de La Princesa,3,H002,estres_1_base,Base,1.0,1.0,45,20160,hospital,68,1,available,0.2232142857142857,0.2232142857142857
Hospital El Escorial,100.0,0,Hospital El Escorial,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital General Universitario Gregorio Marañón,100.0,50,Hospital General Universitario Gregorio Marañón,4,H004,estres_1_base,Base,1.0,1.0,50,20160,hospital,68,1,available,0.496031746031746,0.248015873015873
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H005,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H006,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
Hospital Universitario 12 de Octubre,35.22933890032945,0,Hospital La Fuenfría,1,H007,estres_1_base,Base,1.0,1.0,36,20160,hospital,68,1,available,0.17857142857142858,0.17857142857142858
Hospital Universitario de Fuenlabrada,64.97413624600324,0,Hospital Cantoblanco,1,H008,estres_1_base,Base,1.0,1.0,20,20160,hospital,68,1,available,0.0992063492063492,0.0992063492063492
