base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE NOROESTE,86.05384440546932,1265,BASE NOROESTE,165,B001,estres_1_base,Base,1.0,1.0,1530,20160,base,68,1,available,13.864087301587302,7.5892857142857135
BASE NOROESTE,20.13911214586239,1078,BASE NOROESTE,149,B002,estres_1_base,Base,1.0,1.0,1356,20160,base,68,1,available,12.073412698412698,6.726190476190476
BASE NORTE CAPITAL,40.75602935183441,2223,BASE NORTE CAPITAL,297,B003,estres_1_base,Base,1.0,1.0,2792,20160,base,68,1,available,24.875992063492063,13.84920634920635
BASE NORTE CAPITAL,47.13116042855089,2056,BASE NORTE CAPITAL,280,B004,estres_1_base,Base,1.0,1.0,2558,20160,base,68,1,available,22.886904761904763,12.688492063492063
BASE NORTE CAPITAL,32.23478817850548,1908,BASE NORTE CAPITAL,270,B005,estres_1_base,Base,1.0,1.0,2402,20160,base,68,1,available,21.378968253968253,11.91468253968254
BASE NORTE CAPITAL,43.414590988206555,2130,BASE NORTE CAPITAL,273,B006,estres_1_base,Base,1.0,1.0,2650,20160,base,68,1,available,23.71031746031746,13.14484126984127
BASE NORTE CAPITAL,36.543290152145694,1869,BASE NORTE CAPITAL,260,B007,estres_1_base,Base,1.0,1.0,2342,20160,base,68,1,available,20.887896825396826,11.617063492063492
BASE ESTE CORREDOR,20.5662853398,751,BASE ESTE CORREDOR,63,B008,estres_1_base,Base,1.0,1.0,1002,20160,base,68,1,available,8.695436507936508,4.970238095238095
BASE ESTE CORREDOR,100.0,1217,BASE ESTE CORREDOR,95,B009,estres_1_base,Base,1.0,1.0,1530,20160,base,68,1,available,13.625992063492061,7.5892857142857135
BASE ESTE CORREDOR,21.388674706258573,1362,BASE ESTE CORREDOR,114,B010,estres_1_base,Base,1.0,1.0,1768,20160,base,68,1,available,15.525793650793652,8.769841269841269
BASE ESTE CORREDOR,22.200817301786646,1196,BASE ESTE CORREDOR,102,B011,estres_1_base,Base,1.0,1.0,1522,20160,base,68,1,available,13.482142857142856,7.549603174603174
BASE SUR FUENLABRADA,57.89045766487056,1571,BASE SUR FUENLABRADA,211,B012,estres_1_base,Base,1.0,1.0,1934,20160,base,68,1,available,17.385912698412696,9.593253968253968
BASE SUR FUENLABRADA,20.56998262008701,1784,BASE SUR FUENLABRADA,237,B013,estres_1_base,Base,1.0,1.0,2236,20160,base,68,1,available,19.940476190476193,11.09126984126984
BASE SUR FUENLABRADA,100.0,1651,BASE SUR FUENLABRADA,225,B014,estres_1_base,Base,1.0,1.0,1998,20160,base,68,1,available,18.10019841269841,9.910714285714285
Hospital Asociado Universitario Guadarrama,83.10889454516236,0,Hospital Asociado Universitario Guadarrama,1,H001,estres_1_base,Base,1.0,1.0,12,20160,hospital,68,1,available,0.05952380952380953,0.05952380952380953
Hospital Asociado Universitario Guadarrama,23.01403851934858,0,Hospital Universitario de La Princesa,3,H002,estres_1_base,Base,1.0,1.0,45,20160,hospital,68,1,available,0.2232142857142857,0.2232142857142857
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,68,1,available,0.0,0.0
