ruta,organos_totales,organos_fuera_isquemia,tiempo_medio_min,incidencias
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario General de Villalba,4.0,2.0,56.0,2.0
Hospital Universitario del Henares â†’ Hospital La Fuenfría,3.0,2.0,324.0,2.0
Hospital La Fuenfría â†’ Hospital Universitario Príncipe de Asturias,2.0,2.0,7404.5,2.0
Hospital Universitario de Torrejón â†’ Hospital El Escorial,2.0,2.0,9391.5,2.0
Hospital La Fuenfría â†’ Hospital Central de la Cruz Roja San José y Santa Adela,3.0,1.0,38.0,1.0
Hospital La Fuenfría â†’ Hospital Universitario Infanta Elena,3.0,1.0,38.0,1.0
Hospital La Fuenfría â†’ Hospital Universitario del Sureste,3.0,1.0,32.666666666666664,1.0
Hospital La Fuenfría â†’ Hospital Universitario José Germain,2.0,1.0,21.5,1.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Infanta Cristina,2.0,1.0,20.0,1.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Asociado Universitario Guadarrama,2.0,1.0,21.5,1.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Puerta de Hierro Majadahonda,2.0,1.0,1029.0,1.0
Hospital Universitario Rey Juan Carlos â†’ Hospital La Fuenfría,2.0,1.0,1184.0,1.0
Hospital Universitario de Torrejón â†’ Hospital Universitario General de Villalba,2.0,1.0,5979.5,1.0
Hospital Asociado Universitario Guadarrama â†’ Hospital Universitario Infanta Elena,1.0,1.0,0.0,1.0
Hospital Universitario General de Villalba â†’ Hospital Universitario Fundación Alcorcón,1.0,1.0,0.0,1.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario José Germain,1.0,1.0,0.0,1.0
Hospital Central de la Cruz Roja San José y Santa Adela â†’ Hospital Universitario Dr. Rodríguez Lafora,7.0,0.0,8.285714285714286,0.0
Hospital Enfermera Isabel Zendal â†’ Hospital Carlos III,7.0,0.0,12.714285714285714,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario Infanta Cristina,7.0,0.0,17.142857142857142,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Universitario José Germain,7.0,0.0,16.428571428571427,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Fundación Jiménez Díaz,7.0,0.0,14.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario de Fuenlabrada,7.0,0.0,9.285714285714286,0.0
Hospital Asociado Universitario Guadarrama â†’ Hospital Universitario General de Villalba,6.0,0.0,5.833333333333333,0.0
Hospital Universitario Fundación Jiménez Díaz â†’ Hospital Clínico San Carlos,6.0,0.0,4.666666666666667,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario Príncipe de Asturias,6.0,0.0,25.5,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Universitario de Getafe,6.0,0.0,15.333333333333334,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Universitario Dr. Rodríguez Lafora,6.0,0.0,14.5,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital General Universitario Gregorio Marañón,6.0,0.0,14.333333333333334,0.0
Hospital Universitario Santa Cristina â†’ Hospital Universitario Infanta Sofía,6.0,0.0,16.833333333333332,0.0
Hospital Universitario de Getafe â†’ Hospital Central de la Cruz Roja San José y Santa Adela,6.0,0.0,15.833333333333334,0.0
Hospital Universitario de Getafe â†’ Hospital Infantil Universitario Niño Jesús,6.0,0.0,14.666666666666666,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario Fundación Alcorcón,6.0,0.0,11.166666666666666,0.0
Hospital Universitario del Henares â†’ Hospital Universitario de La Princesa,6.0,0.0,16.833333333333332,0.0
Hospital Universitario del Sureste â†’ Hospital Central de la Cruz Roja San José y Santa Adela,6.0,0.0,25.333333333333332,0.0
Hospital Cantoblanco â†’ Hospital Universitario Fundación Jiménez Díaz,5.0,0.0,11.6,0.0
Hospital Cantoblanco â†’ Hospital Universitario Infanta Sofía,5.0,0.0,13.5,0.0
Hospital Cantoblanco â†’ Hospital Universitario La Paz,5.0,0.0,14.6,0.0
Hospital Carlos III â†’ Hospital Clínico San Carlos,5.0,0.0,10.0,0.0
Hospital Enfermera Isabel Zendal â†’ Hospital La Fuenfría,5.0,0.0,44.6,0.0
Hospital General Universitario Gregorio Marañón â†’ Hospital Infantil Universitario Niño Jesús,5.0,0.0,4.6,0.0
Hospital Infantil Universitario Niño Jesús â†’ Hospital Universitario Infanta Sofía,5.0,0.0,15.8,0.0
Hospital La Fuenfría â†’ Hospital Central de la Defensa Gómez Ulla,5.0,0.0,41.0,0.0
Hospital La Fuenfría â†’ Hospital General Universitario Gregorio Marañón,5.0,0.0,40.6,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Clínico San Carlos,5.0,0.0,15.0,0.0
Hospital Universitario Fundación Alcorcón â†’ Hospital Universitario Infanta Elena,5.0,0.0,18.4,0.0
Hospital Universitario General de Villalba â†’ Hospital Asociado Universitario Guadarrama,5.0,0.0,7.4,0.0
Hospital Universitario General de Villalba â†’ Hospital Virgen de la Torre,5.0,0.0,35.6,0.0
Hospital Universitario Infanta Cristina â†’ Hospital La Fuenfría,5.0,0.0,45.6,0.0
Hospital Universitario Infanta Cristina â†’ Hospital Universitario de Móstoles,5.0,0.0,11.6,0.0
Hospital Universitario Infanta Leonor â†’ Hospital Carlos III,5.0,0.0,11.8,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Central de la Cruz Roja San José y Santa Adela,5.0,0.0,14.4,0.0
Hospital Universitario Infanta Sofía â†’ Hospital Central de la Defensa Gómez Ulla,5.0,0.0,23.2,0.0
Hospital Universitario La Paz â†’ Hospital Universitario Rey Juan Carlos,5.0,0.0,20.8,0.0
Hospital Universitario La Paz â†’ Hospital Universitario del Sureste,5.0,0.0,24.8,0.0
Hospital Universitario Príncipe de Asturias â†’ Hospital Universitario Fundación Alcorcón,5.0,0.0,56.2,0.0
Hospital Universitario Puerta de Hierro Majadahonda â†’ Hospital Universitario Rey Juan Carlos,5.0,0.0,9.6,0.0
Hospital Universitario Ramón y Cajal â†’ Hospital Carlos III,5.0,0.0,3.6,0.0
Hospital Universitario Rey Juan Carlos â†’ Hospital General Universitario Gregorio Marañón,5.0,0.0,16.6,0.0
Hospital Universitario Santa Cristina â†’ Hospital La Fuenfría,5.0,0.0,219.8,0.0
Hospital Universitario Severo Ochoa â†’ Hospital El Escorial,5.0,0.0,36.2,0.0
Hospital Universitario Severo Ochoa â†’ Hospital La Fuenfría,5.0,0.0,47.4,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Universitario Príncipe de Asturias,5.0,0.0,38.8,0.0
Hospital Universitario Severo Ochoa â†’ Hospital Virgen de la Torre,5.0,0.0,14.0,0.0
Hospital Universitario de Getafe â†’ Hospital Universitario del Henares,5.0,0.0,21.0,0.0
Hospital Universitario de La Princesa â†’ Hospital Universitario José Germain,5.0,0.0,13.0,0.0
Hospital Universitario de Móstoles â†’ Hospital Universitario Ramón y Cajal,5.0,0.0,24.4,0.0
