escenario_pretty,bloque_horas,cola_media,p10,p90
Base,0.0,0.0,0.0,0.0
Base,4.0,0.0,0.0,0.0
Base,8.0,0.0,0.0,0.0
Base,12.0,0.0,0.0,0.0
Base,16.0,0.0,0.0,0.0
Base,20.0,0.0,0.0,0.0
Base,24.0,0.0,0.0,0.0
Base,28.0,0.0125,0.0,0.0
Base,32.0,0.1,0.0,0.27500000000000036
Base,36.0,0.4625,0.0,1.0250000000000004
Base,40.0,0.925,0.22500000000000003,1.7750000000000004
Base,44.0,1.1375,0.0,3.075000000000001
Base,48.0,0.7875,0.0,2.325000000000001
Base,52.0,0.9625,0.0,3.0
Base,56.0,1.6125,0.22500000000000003,3.325000000000001
Base,60.0,1.9375,0.0,4.050000000000001
Base,64.0,3.625,0.675,8.000000000000004
Base,68.0,5.025,0.7000000000000001,13.575000000000005
Base,72.0,2.4625,0.22500000000000003,5.550000000000001
Base,76.0,3.5,0.0,6.325000000000005
Base,80.0,14.8,4.475,24.80000000000001
Base,84.0,28.5125,13.75,46.125000000000014
Base,88.0,23.7875,6.625,47.575
Base,92.0,9.6875,2.925,17.47500000000001
Base,96.0,2.4,0.0,6.1750000000000025
Base,100.0,2.3875,0.0,6.75
Base,104.0,4.05,0.9750000000000001,7.600000000000001
Base,108.0,2.3875,0.22500000000000003,4.600000000000001
Base,112.0,1.6875,0.0,3.500000000000007
Base,116.0,1.4875,0.0,3.8750000000000018
Base,120.0,1.0875,0.0,3.1750000000000025
Base,124.0,1.2,0.0,4.125000000000002
Base,128.0,1.9,0.0,5.775
Base,132.0,2.2625,0.22500000000000003,6.9250000000000025
Base,136.0,2.3625,0.0,5.025000000000004
Base,140.0,3.2625,0.0,6.075000000000001
Base,144.0,1.85,0.0,4.350000000000001
Base,148.0,2.35,0.0,6.550000000000001
Base,152.0,7.3,0.9750000000000001,15.075000000000001
Base,156.0,11.375,4.2,23.300000000000004
Base,160.0,12.125,3.25,20.700000000000014
Base,164.0,8.4,1.675,10.600000000000001
Base,168.0,6.2125,0.25,12.025
Base,172.0,7.125,0.0,12.17500000000001
Base,176.0,11.9,2.975,20.1
Base,180.0,13.975,2.175,23.925000000000004
Base,184.0,7.6625,1.925,14.275
Base,188.0,4.3875,0.0,12.300000000000004
Base,192.0,3.5375,0.0,13.600000000000001
Base,196.0,3.6,0.0,8.92500000000001
Base,200.0,2.9,0.5,5.625000000000002
Base,204.0,3.5,0.0,9.350000000000001
Base,208.0,2.975,0.22500000000000003,6.775
Base,212.0,2.775,0.0,7.025
Base,216.0,1.9125,0.0,4.300000000000004
Base,220.0,1.8375,0.0,5.450000000000003
Base,224.0,4.625,0.47500000000000003,9.250000000000004
Base,228.0,7.25,1.7000000000000002,14.300000000000004
Base,232.0,7.65,1.925,13.125000000000002
Base,236.0,5.6875,1.25,12.650000000000002
Base,240.0,4.0375,0.22500000000000003,8.350000000000016
Base,244.0,3.8875,0.0,9.950000000000003
Base,248.0,10.7125,4.4750000000000005,17.325000000000003
Base,252.0,16.1625,4.975,29.525000000000006
Base,256.0,12.7,4.4,26.625
Base,260.0,6.2,0.9000000000000001,12.225000000000003
Base,264.0,1.8875,0.0,6.25
Base,268.0,1.75,0.0,3.5500000000000007
Base,272.0,5.075,1.2000000000000002,8.775
Base,276.0,4.6125,0.45000000000000007,11.325000000000001
Base,280.0,2.775,0.25,7.75
Base,284.0,2.475,0.0,7.775
Base,288.0,1.0125,0.0,3.25
Base,292.0,0.9125,0.0,2.0250000000000004
Base,296.0,2.0125,0.47500000000000003,3.525000000000004
Base,300.0,4.35,0.22500000000000003,11.0
Base,304.0,3.3,0.25,7.350000000000001
Base,308.0,4.5,0.22500000000000003,8.450000000000003
Base,312.0,3.2625,0.0,7.575000000000001
Base,316.0,3.1625,0.22500000000000003,6.550000000000001
Base,320.0,6.1875,2.125,12.850000000000001
Base,324.0,7.675,1.25,16.025
Base,328.0,7.825,1.8750000000000002,15.275
Base,332.0,8.725,2.475,17.625000000000007
Moderado,0.0,0.0,0.0,0.0
