ruta,organos_totales,organos_fuera_isquemia,pendientes_por_corte,organos_a_tiempo,tiempo_medio_min,espera_media_min,incidencias
Hospital Central de la Cruz Roja San José y Santa Adela → Hospital Universitario Dr. Rodríguez Lafora,7,0,0,7,7.857142857142857,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Carlos III,7,0,0,7,10.571428571428571,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Universitario Infanta Cristina,7,0,0,7,12.0,0.0,0
Hospital Universitario Ramón y Cajal → Hospital Universitario José Germain,7,0,0,7,14.571428571428571,0.0,0
Hospital Universitario de Getafe → Hospital Universitario Fundación Jiménez Díaz,7,0,0,7,12.0,0.0,0
Hospital Universitario de Getafe → Hospital Universitario de Fuenlabrada,7,0,0,7,7.428571428571429,0.0,0
Hospital Asociado Universitario Guadarrama → Hospital Universitario General de Villalba,6,0,0,6,5.833333333333333,0.0,0
Hospital Universitario Fundación Jiménez Díaz → Hospital Clínico San Carlos,6,0,0,6,2.8333333333333335,0.0,0
Hospital Universitario Infanta Leonor → Hospital Universitario Príncipe de Asturias,6,0,0,6,21.833333333333332,0.0,0
Hospital Universitario Infanta Leonor → Hospital Universitario de Getafe,6,0,0,6,13.0,0.0,0
Hospital Universitario Infanta Sofía → Hospital Universitario Dr. Rodríguez Lafora,6,0,0,6,9.0,0.0,0
Hospital Universitario Puerta de Hierro Majadahonda → Hospital General Universitario Gregorio Marañón,6,0,0,6,12.666666666666666,0.0,0
Hospital Universitario Santa Cristina → Hospital Universitario Infanta Sofía,6,0,0,6,16.166666666666668,0.0,0
Hospital Universitario de Getafe → Hospital Central de la Cruz Roja San José y Santa Adela,6,0,0,6,13.666666666666666,0.0,0
Hospital Universitario de Getafe → Hospital Infantil Universitario Niño Jesús,6,0,0,6,13.0,0.0,0
Hospital Universitario de Getafe → Hospital Universitario Fundación Alcorcón,6,0,0,6,7.333333333333333,0.0,0
Hospital Universitario del Henares → Hospital Universitario de La Princesa,6,0,0,6,9.333333333333334,0.0,0
Hospital Universitario del Sureste → Hospital Central de la Cruz Roja San José y Santa Adela,6,0,0,6,22.5,0.0,0
Hospital Cantoblanco → Hospital Universitario Fundación Jiménez Díaz,5,0,0,5,10.8,0.0,0
Hospital Cantoblanco → Hospital Universitario Infanta Sofía,5,0,0,5,12.2,0.0,0
Hospital Cantoblanco → Hospital Universitario La Paz,5,0,0,5,12.2,0.0,0
Hospital Carlos III → Hospital Clínico San Carlos,5,0,0,5,4.8,0.0,0
Hospital Enfermera Isabel Zendal → Hospital La Fuenfría,5,0,0,5,40.8,0.0,0
Hospital General Universitario Gregorio Marañón → Hospital Infantil Universitario Niño Jesús,5,0,0,5,2.0,0.0,0
Hospital Infantil Universitario Niño Jesús → Hospital Universitario Infanta Sofía,5,0,0,5,15.2,0.0,0
Hospital La Fuenfría → Hospital Central de la Defensa Gómez Ulla,5,0,0,5,35.0,0.0,0
Hospital La Fuenfría → Hospital General Universitario Gregorio Marañón,5,0,0,5,35.4,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Clínico San Carlos,5,0,0,5,9.4,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Universitario Infanta Elena,5,0,0,5,15.6,0.0,0
Hospital Universitario General de Villalba → Hospital Asociado Universitario Guadarrama,5,0,0,5,7.4,0.0,0
Hospital Universitario General de Villalba → Hospital Virgen de la Torre,5,0,0,5,35.6,0.0,0
Hospital Universitario Infanta Cristina → Hospital La Fuenfría,5,0,0,5,45.6,0.0,0
Hospital Universitario Infanta Cristina → Hospital Universitario de Móstoles,5,0,0,5,11.6,0.0,0
Hospital Universitario Infanta Leonor → Hospital Carlos III,5,0,0,5,11.0,0.0,0
Hospital Universitario Infanta Sofía → Hospital Central de la Cruz Roja San José y Santa Adela,5,0,0,5,12.8,0.0,0
Hospital Universitario Infanta Sofía → Hospital Central de la Defensa Gómez Ulla,5,0,0,5,22.2,0.0,0
Hospital Universitario La Paz → Hospital Universitario Rey Juan Carlos,5,0,0,5,18.8,0.0,0
Hospital Universitario La Paz → Hospital Universitario del Sureste,5,0,0,5,21.6,0.0,0
Hospital Universitario Príncipe de Asturias → Hospital Universitario Fundación Alcorcón,5,0,0,5,36.6,0.0,0
Hospital Universitario Puerta de Hierro Majadahonda → Hospital Universitario Rey Juan Carlos,5,0,0,5,9.6,0.0,0
Hospital Universitario Ramón y Cajal → Hospital Carlos III,5,0,0,5,2.0,0.0,0
Hospital Universitario Rey Juan Carlos → Hospital General Universitario Gregorio Marañón,5,0,0,5,14.0,0.0,0
Hospital Universitario Santa Cristina → Hospital La Fuenfría,5,0,0,5,39.2,0.0,0
Hospital Universitario Severo Ochoa → Hospital El Escorial,5,0,0,5,35.2,0.0,0
Hospital Universitario Severo Ochoa → Hospital La Fuenfría,5,0,0,5,42.6,0.0,0
Hospital Universitario Severo Ochoa → Hospital Universitario Príncipe de Asturias,5,0,0,5,36.4,0.0,0
Hospital Universitario Severo Ochoa → Hospital Virgen de la Torre,5,0,0,5,12.0,0.0,0
Hospital Universitario de Getafe → Hospital Universitario del Henares,5,0,0,5,17.2,0.0,0
Hospital Universitario de La Princesa → Hospital Universitario José Germain,5,0,0,5,11.2,0.0,0
Hospital Universitario de Móstoles → Hospital Universitario Ramón y Cajal,5,0,0,5,21.4,0.0,0
Hospital Universitario de Móstoles → Hospital Universitario Rey Juan Carlos,5,0,0,5,12.2,0.0,0
Hospital Universitario de Móstoles → Hospital Universitario del Henares,5,0,0,5,27.2,0.0,0
Hospital Universitario de Torrejón → Hospital Universitario del Sureste,5,0,0,5,18.8,0.0,0
Hospital Universitario del Sureste → Hospital Clínico San Carlos,5,0,0,5,24.2,0.0,0
Hospital Universitario del Sureste → Hospital Universitario Fundación Alcorcón,5,0,0,5,30.6,0.0,0
Hospital Asociado Universitario Guadarrama → Hospital Cantoblanco,4,0,0,4,28.0,0.0,0
Hospital Asociado Universitario Guadarrama → Hospital Virgen de la Torre,4,0,0,4,43.0,0.0,0
Hospital Cantoblanco → Hospital Central de la Cruz Roja San José y Santa Adela,4,0,0,4,13.5,0.0,0
Hospital Cantoblanco → Hospital Universitario Infanta Leonor,4,0,0,4,15.0,0.0,0
Hospital Cantoblanco → Hospital Universitario Príncipe de Asturias,4,0,0,4,22.0,0.0,0
Hospital Cantoblanco → Hospital Universitario de La Princesa,4,0,0,4,14.5,0.0,0
Hospital Carlos III → Hospital Universitario de Fuenlabrada,4,0,0,4,17.5,0.0,0
Hospital Central de la Cruz Roja San José y Santa Adela → Hospital Enfermera Isabel Zendal,4,0,0,4,9.0,0.0,0
Hospital Central de la Cruz Roja San José y Santa Adela → Hospital Universitario 12 de Octubre,4,0,0,4,6.5,0.0,0
Hospital Central de la Cruz Roja San José y Santa Adela → Hospital Universitario de Getafe,4,0,0,4,16.5,0.0,0
Hospital Clínico San Carlos → Hospital Universitario General de Villalba,4,0,0,4,26.75,0.0,0
Hospital El Escorial → Hospital Clínico San Carlos,4,0,0,4,27.75,0.0,0
Hospital El Escorial → Hospital Universitario del Sureste,4,0,0,4,47.75,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Central de la Cruz Roja San José y Santa Adela,4,0,0,4,9.75,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Central de la Defensa Gómez Ulla,4,0,0,4,16.75,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Universitario Infanta Sofía,4,0,0,4,10.5,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Universitario Rey Juan Carlos,4,0,0,4,23.5,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Universitario de Getafe,4,0,0,4,21.75,0.0,0
Hospital Enfermera Isabel Zendal → Hospital Universitario del Sureste,4,0,0,4,21.25,0.0,0
Hospital General Universitario Gregorio Marañón → Hospital Central de la Cruz Roja San José y Santa Adela,4,0,0,4,6.25,0.0,0
Hospital General Universitario Gregorio Marañón → Hospital El Escorial,4,0,0,4,31.75,0.0,0
Hospital La Fuenfría → Hospital Infantil Universitario Niño Jesús,4,0,0,4,38.0,0.0,0
Hospital La Fuenfría → Hospital Universitario General de Villalba,4,0,0,4,9.0,0.0,0
Hospital La Fuenfría → Hospital Universitario Infanta Leonor,4,0,0,4,44.5,0.0,0
Hospital La Fuenfría → Hospital Universitario Puerta de Hierro Majadahonda,4,0,0,4,30.5,0.0,0
Hospital La Fuenfría → Hospital Universitario Severo Ochoa,4,0,0,4,39.0,0.0,0
Hospital La Fuenfría → Hospital Universitario de Torrejón,4,0,0,4,45.0,0.0,0
Hospital Universitario 12 de Octubre → Hospital General Universitario Gregorio Marañón,4,0,0,4,4.0,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Cantoblanco,4,0,0,4,19.0,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Carlos III,4,0,0,4,14.75,0.0,0
Hospital Universitario Fundación Alcorcón → Hospital Universitario La Paz,4,0,0,4,14.75,0.0,0
Hospital Universitario Fundación Jiménez Díaz → Hospital Asociado Universitario Guadarrama,4,0,0,4,29.25,0.0,0
Hospital Universitario Fundación Jiménez Díaz → Hospital Universitario Infanta Elena,4,0,0,4,20.5,0.0,0
Hospital Universitario Fundación Jiménez Díaz → Hospital Virgen de la Torre,4,0,0,4,10.0,0.0,0
Hospital Universitario General de Villalba → Hospital Infantil Universitario Niño Jesús,4,0,0,4,30.0,0.0,0
Hospital Universitario General de Villalba → Hospital Universitario Príncipe de Asturias,4,0,0,4,45.0,0.0,0
